[488, -325, -58, 124, 54, -93, -45, 76]
[-324, 259, 51, -103, -49, 72, 34, -59]
[-59, 52, 2, -14, -3, 11, 2, -4]
[123, -101, -13, 29, 9, -17, -10, 11]
[54, -50, -4, 8, 2, -3, -4, -2]
[-89, 71, 9, -17, -3, 8, 2, 0]
[-44, 36, 4, -11, -4, 3, 1, 0]
[74, -55, -2, 11, -1, -1, 1, -2]
[800, -1, 1, -2, -1, -1, 0, 0]
[-567, 1, -1, 2, 1, 1, 0, 0]
[-117, -1, 1, -2, -1, -1, 0, 0]
[225, 1, -1, 2, 1, 1, 0, 0]
[115, -1, 1, -2, -1, -1, 0, 0]
[-164, 1, -1, 1, 1, 1, 0, 0]
[-80, 0, 0, -1, 0, 0, 0, 0]
[135, 0, 0, 0, 0, 0, 0, 0]
[799, -2, -1, 1, 1, -1, 0, 4]
[-566, 2, 1, -1, -1, 1, 0, -5]
[-119, -2, -1, 1, 1, -1, 0, 5]
[226, 2, 1, -1, -1, 1, 0, -5]
[114, -2, -1, 1, 1, -1, 0, 4]
[-163, 1, 1, -1, -1, 1, 0, -3]
[-81, -1, -1, 1, 1, 0, 0, 2]
[135, 0, 0, 0, 0, 0, 0, -1]
[799, 1, 0, 0, 0, 0, 0, 0]
[-566, -1, 0, 0, 0, 0, 0, 0]
[-118, 1, 0, 0, 0, 0, 0, 0]
[225, -1, 0, 0, 0, 0, 0, 0]
[114, 1, 0, 0, 0, 0, 0, 0]
[-163, -1, 0, 0, 0, 0, 0, 0]
[-81, 0, 0, 0, 0, 0, 0, 0]
[135, 0, 0, 0, 0, 0, 0, 0]
[800, 0, -1, 0, 0, 0, 0, 0]
[-568, 0, 1, 0, 0, 0, 0, 0]
[-117, 0, -1, 0, 0, 0, 0, 0]
[224, 0, 1, 0, 0, 0, 0, 0]
[115, 0, -1, 0, 0, 0, 0, 0]
[-164, 0, 1, 0, 0, 0, 0, 0]
[-80, 0, -1, 0, 0, 0, 0, 0]
[135, 0, 0, 0, 0, 0, 0, 0]
[800, 0, 0, 1, 0, 0, 0, 0]
[-567, 0, 0, -1, 0, 0, 0, 0]
[-118, 0, 0, 1, 0, 0, 0, 0]
[225, 0, 0, -1, 0, 0, 0, 0]
[115, 0, 0, 1, 0, 0, 0, 0]
[-163, 0, 0, -1, 0, 0, 0, 0]
[-81, 0, 0, 1, 0, 0, 0, 0]
[135, 0, 0, 0, 0, 0, 0, 0]
[799, 0, 0, 3, 2, -2, -1, -1]
[-565, 0, 0, -4, -3, 2, 1, 1]
[-119, 0, 0, 4, 3, -2, -1, -1]
[226, 0, 0, -4, -3, 2, 1, 1]
[113, 0, 0, 3, 2, -2, -1, -1]
[-162, 0, 0, -3, -2, 1, 1, 1]
[-81, 0, 0, 2, 1, -1, 0, -1]
[136, 0, 0, -1, -1, 0, 0, 0]
[798, 1, 0, 1, 0, 0, 0, 0]
[-565, -1, 0, -1, 0, 0, 0, 0]
[-119, 1, 0, 1, 0, 0, 0, 0]
[227, -1, 0, -1, 0, 0, 0, 0]
[113, 1, 0, 1, 0, 0, 0, 0]
[-162, -1, 0, -1, 0, 0, 0, 0]
[-81, 0, 0, 0, 0, 0, 0, 0]
[136, 0, 0, 0, 0, 0, 0, 0]
[799, -1, 0, 0, 0, 0, 0, 0]
[-565, 1, 0, 0, 0, 0, 0, 0]
[-119, -1, 0, 0, 0, 0, 0, 0]
[226, 1, 0, 0, 0, 0, 0, 0]
[113, -1, 0, 0, 0, 0, 0, 0]
[-162, 1, 0, 0, 0, 0, 0, 0]
[-81, -1, 0, 0, 0, 0, 0, 0]
[136, 0, 0, 0, 0, 0, 0, 0]
[800, -1, 0, 0, -1, 0, 0, 0]
[-567, 1, 0, 0, 1, 0, 0, 0]
[-118, -1, 0, 0, -1, 0, 0, 0]
[225, 1, 0, 0, 1, 0, 0, 0]
[115, -1, 0, 0, -1, 0, 0, 0]
[-163, 1, 0, 0, 1, 0, 0, 0]
[-81, -1, 0, 0, 0, 0, 0, 0]
[135, 0, 0, 0, 0, 0, 0, 0]
[802, 1, 0, -1, 1, 0, 0, 0]
[-569, -2, 0, 2, -1, 0, 0, 0]
[-115, 2, 0, -2, 1, 0, 0, 0]
[223, -2, 0, 2, -1, 0, 0, 0]
[116, 1, 0, -1, 1, 0, 0, 0]
[-165, -1, 0, 1, -1, 0, 0, 0]
[-80, 1, 0, -1, 0, 0, 0, 0]
[135, 0, 0, 0, 0, 0, 0, 0]
[799, 1, -2, -1, 2, 0, 0, 0]
[-566, -1, 2, 2, -3, 0, 0, 0]
[-118, 1, -2, -2, 3, 0, 0, 0]
[225, -1, 2, 2, -3, 0, 0, 0]
[114, 1, -2, -1, 2, 0, 0, 0]
[-163, -1, 1, 1, -2, 0, 0, 0]
[-81, 1, -1, -1, 1, 0, 0, 0]
[135, 0, 0, 0, -1, 0, 0, 0]
[802, -1, -1, 1, 0, 0, 0, 0]
[-569, 1, 2, -1, 0, 0, 0, 0]
[-115, -1, -2, 1, 0, 0, 0, 0]
[223, 1, 2, -1, 0, 0, 0, 0]
[116, -1, -1, 1, 0, 0, 0, 0]
[-165, 1, 1, -1, 0, 0, 0, 0]
[-80, 0, -1, 0, 0, 0, 0, 0]
[135, 0, 0, 0, 0, 0, 0, 0]
[800, 0, 0, 0, 0, 0, 0, 0]
[-567, 0, 0, 0, 0, 0, 0, 0]
[-118, 0, 0, 0, 0, 0, 0, 0]
[225, 0, 0, 0, 0, 0, 0, 0]
[115, 0, 0, 0, 0, 0, 0, 0]
[-163, 0, 0, 0, 0, 0, 0, 0]
[-81, 0, 0, 0, 0, 0, 0, 0]
[135, 0, 0, 0, 0, 0, 0, 0]
[800, -1, 1, 0, 0, 0, 0, 0]
[-567, 1, -1, 0, 0, 0, 0, 0]
[-118, -1, 1, 0, 0, 0, 0, 0]
[225, 1, -1, 0, 0, 0, 0, 0]
[115, -1, 1, 0, 0, 0, 0, 0]
[-163, 1, -1, 0, 0, 0, 0, 0]
[-81, -1, 0, 0, 0, 0, 0, 0]
[135, 0, 0, 0, 0, 0, 0, 0]
[799, 1, -1, -2, 2, 0, 0, 0]
[-566, -2, 1, 3, -3, 0, 0, 0]
[-119, 2, -1, -3, 3, 0, 0, 0]
[226, -2, 1, 2, -3, 0, 0, 0]
[114, 1, -1, -2, 2, 0, 0, 0]
[-163, -1, 1, 2, -2, 0, 0, 0]
[-81, 1, 0, -1, 1, 0, 0, 0]
[135, 0, 0, 1, -1, 0, 0, 0]
[802, 1, 0, -2, 0, 1, 0, 0]
[-570, -1, 0, 3, 0, -1, 0, 0]
[-115, 1, 0, -3, 0, 1, 0, 0]
[223, -1, 0, 2, 0, -1, 0, 0]
[117, 1, 0, -2, 0, 1, 0, 0]
[-165, -1, 0, 2, 0, -1, 0, 0]
[-79, 1, 0, -1, 0, 1, 0, 0]
[135, 0, 0, 1, 0, 0, 0, 0]
[800, 1, 0, 1, 0, 0, 0, 0]
[-567, -1, 0, -1, 0, 0, 0, 0]
[-118, 1, 0, 1, 0, 0, 0, 0]
[225, -1, 0, -1, 0, 0, 0, 0]
[115, 1, 0, 1, 0, 0, 0, 0]
[-163, -1, 0, -1, 0, 0, 0, 0]
[-81, 0, 0, 0, 0, 0, 0, 0]
[135, 0, 0, 0, 0, 0, 0, 0]
[800, -1, -1, 1, 0, 0, 0, 0]
[-567, 2, 1, -1, 0, 0, 0, 0]
[-118, -2, -1, 1, 0, 0, 0, 0]
[225, 2, 1, -1, 0, 0, 0, 0]
[115, -1, -1, 1, 0, 0, 0, 0]
[-163, 1, 1, -1, 0, 0, 0, 0]
[-81, -1, -1, 0, 0, 0, 0, 0]
[135, 0, 0, 0, 0, 0, 0, 0]
[799, -2, 0, 0, -1, 0, 0, 0]
[-565, 3, 0, 0, 1, 0, 0, 0]
[-119, -3, 0, 0, -1, 0, 0, 0]
[226, 3, 0, 0, 1, 0, 0, 0]
[113, -2, 0, 0, -1, 0, 0, 0]
[-162, 2, 0, 0, 1, 0, 0, 0]
[-81, -1, 0, 0, 0, 0, 0, 0]
[136, 1, 0, 0, 0, 0, 0, 0]
[799, -1, 0, -1, 0, 0, 0, -1]
[-566, 1, 0, 1, 0, 0, 0, 2]
[-118, -1, 0, -1, 0, 0, 0, -2]
[225, 1, 0, 1, 0, 0, 0, 2]
[114, -1, 0, -1, 0, 0, 0, -1]
[-163, 1, 0, 1, 0, 0, 0, 1]
[-81, 0, 0, 0, 0, 0, 0, -1]
[135, 0, 0, 0, 0, 0, 0, 0]
[800, 0, 0, 0, -1, 1, 1, 0]
[-568, 0, 0, 0, 1, -1, -1, 0]
[-117, 0, 0, 0, -1, 1, 1, 0]
[224, 0, 0, 0, 1, -1, -1, 0]
[115, 0, 0, 0, -1, 1, 1, 0]
[-164, 0, 0, 0, 1, -1, -1, 0]
[-80, 0, 0, 0, 0, 0, 0, 0]
[135, 0, 0, 0, 0, 0, 0, 0]
[802, 1, 0, 0, 0, 0, 0, 0]
[-570, -1, 0, 0, 0, 0, 0, 0]
[-115, 1, 0, 0, 0, 0, 0, 0]
[223, -1, 0, 0, 0, 0, 0, 0]
[117, 1, 0, 0, 0, 0, 0, 0]
[-165, -1, 0, 0, 0, 0, 0, 0]
[-79, 1, 0, 0, 0, 0, 0, 0]
[135, 0, 0, 0, 0, 0, 0, 0]
[799, 0, 0, 0, 0, -1, 0, 0]
[-565, 0, 0, 0, 0, 1, 0, 0]
[-119, 0, 0, 0, 0, -1, 0, 0]
[226, 0, 0, 0, 0, 1, 0, 0]
[113, 0, 0, 0, 0, -1, 0, 0]
[-162, 0, 0, 0, 0, 1, 0, 0]
[-81, 0, 0, 0, 0, 0, 0, 0]
[136, 0, 0, 0, 0, 0, 0, 0]
[800, 0, 0, 0, 1, 0, 0, 1]
